0 1 0 0	0 0 -1 0	1 0 0 0	0 0 0 1	
-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
0.1422116 -0.1326402 -0.980909 0	0.4677994 0.8823336 -0.05148941 0	-0.8723185 0.4515462 -0.1875271 0	0 0 0 1	
0.1497116 -0.1292189 -0.9802494 0	0.463385 0.8849682 -0.04588681 0	-0.873419 0.4473631 -0.1923681 0	0 0 0 1	
0.1601199 -0.1248138 -0.9791747 0	0.456691 0.888787 -0.03861171 0	-0.8750971 0.4409978 -0.1993138 0	0 0 0 1	
0.1671859 -0.1216908 -0.9783865 0	0.451744 0.8915112 -0.03369166 0	-0.8763425 0.4363475 -0.2040212 0	0 0 0 1	
0.1729786 -0.1189985 -0.9777104 0	0.4473859 0.8938497 -0.0296392 0	-0.8774533 0.432287 -0.2078552 0	0 0 0 1	
0.1770548 -0.1170343 -0.9772178 0	0.4439332 0.895658 -0.02683353 0	-0.8783934 0.4290684 -0.2105359 0	0 0 0 1	
0.179494 -0.1157973 -0.9769201 0	0.4411885 0.8970587 -0.02526957 0	-0.8792807 0.4264701 -0.212105 0	0 0 0 1	
0.1790874 -0.1159643 -0.9769751 0	0.4407315 0.8972706 -0.02571386 0	-0.8795929 0.4259786 -0.211799 0	0 0 0 1	
0.1765041 -0.1177307 -0.9772338 0	0.4422725 0.8964399 -0.02811562 0	-0.8793415 0.4272411 -0.2102944 0	0 0 0 1	
0.1699796 -0.1325187 -0.9764968 0	0.4737216 0.8798993 -0.03694844 0	-0.8641152 0.4563071 -0.2123418 0	0 0 0 1	
0.1672377 -0.1378176 -0.9762366 0	0.4753969 0.8787388 -0.04261397 0	-0.8637299 0.4569732 -0.2124763 0	0 0 0 1	
0.1658908 -0.1388926 -0.9763142 0	0.4763966 0.87813 -0.04397748 0	-0.863439 0.4578172 -0.2118416 0	0 0 0 1	
0.1656161 -0.1378081 -0.9765144 0	0.4767859 0.8779653 -0.04303809 0	-0.8632767 0.4584605 -0.2111101 0	0 0 0 1	
0.1664617 -0.1377354 -0.9763807 0	0.476877 0.8779397 -0.04254657 0	-0.8630636 0.4585312 -0.2118262 0	0 0 0 1	
0.1687732 -0.1358542 -0.9762475 0	0.4753998 0.8788549 -0.04011419 0	-0.8634295 0.4573377 -0.2129123 0	0 0 0 1	
0.1708878 -0.1326654 -0.9763182 0	0.4744415 0.8795311 -0.03647082 0	-0.8635407 0.4569735 -0.2132432 0	0 0 0 1	
0.1733759 -0.1309137 -0.9761159 0	0.4724949 0.88067 -0.03418912 0	-0.8641119 0.4552823 -0.214543 0	0 0 0 1	
0.1760845 -0.127105 -0.9761345 0	0.4714809 0.8813754 -0.02971593 0	-0.864118 0.4549963 -0.2151241 0	0 0 0 1	
0.1799616 -0.1236777 -0.9758676 0	0.4692261 0.8827144 -0.02534099 0	-0.8645465 0.4533421 -0.2168875 0	0 0 0 1	
0.1825992 -0.1215241 -0.9756483 0	0.4662823 0.88434 -0.022883 0	-0.8655856 0.4507491 -0.2181443 0	0 0 0 1	
0.185674 -0.1198547 -0.9752743 0	0.4629231 0.8861551 -0.02077071 0	-0.8667337 0.4476204 -0.2200194 0	0 0 0 1	
0.1877244 -0.1198153 -0.9748865 0	0.4609129 0.8872135 -0.0202866 0	-0.8673631 0.4455295 -0.2217761 0	0 0 0 1	
0.189918 -0.1182911 -0.9746478 0	0.4584616 0.8885216 -0.01850307 0	-0.8681844 0.4433246 -0.2229782 0	0 0 0 1	
0.1928053 -0.1173013 -0.9742006 0	0.455962 0.8898387 -0.01690336 0	-0.8688642 0.4409394 -0.2250506 0	0 0 0 1	
0.1947036 -0.1179188 -0.9737483 0	0.4549828 0.8903409 -0.01684327 0	-0.8689542 0.4397592 -0.2270036 0	0 0 0 1	
0.1967742 -0.1182767 -0.9732885 0	0.4540901 0.8908039 -0.01644741 0	-0.8689546 0.4387242 -0.2289956 0	0 0 0 1	
0.2000221 -0.1203297 -0.9723745 0	0.4540826 0.8908007 -0.01682809 0	-0.8682168 0.4381723 -0.2328194 0	0 0 0 1	
0.2026091 -0.1222746 -0.9715958 0	0.4544671 0.8905953 -0.01730962 0	-0.8674152 0.4380512 -0.2360125 0	0 0 0 1	
0.2052303 -0.1238702 -0.9708433 0	0.4553292 0.8901547 -0.0173213 0	-0.8663464 0.4384984 -0.2390884 0	0 0 0 1	
0.2079168 -0.1256431 -0.9700435 0	0.4562596 0.8896758 -0.01743999 0	-0.8652155 0.4389656 -0.2423044 0	0 0 0 1	
0.2115596 -0.1284598 -0.9688863 0	0.4572502 0.889155 -0.0180465 0	-0.8638083 0.4392055 -0.2468475 0	0 0 0 1	
0.2146117 -0.1310972 -0.9678613 0	0.4580488 0.888728 -0.01881169 0	-0.8626316 0.4392905 -0.2507803 0	0 0 0 1	
0.2193529 -0.1348822 -0.9662769 0	0.4586089 0.8884153 -0.01990545 0	-0.8611401 0.4387769 -0.2567346 0	0 0 0 1	
0.2231768 -0.137593 -0.9650184 0	0.458483 0.8884633 -0.02064575 0	-0.8602241 0.4378369 -0.2613685 0	0 0 0 1	
0.2287077 -0.1416036 -0.9631413 0	0.4587815 0.8882852 -0.02165569 0	-0.8586107 0.4369186 -0.2681228 0	0 0 0 1	
0.2319699 -0.1436712 -0.9620544 0	0.4589387 0.888196 -0.02198234 0	-0.8576511 0.4364247 -0.271971 0	0 0 0 1	
0.239422 -0.1475959 -0.9596314 0	0.4589189 0.888203 -0.02211252 0	-0.8556112 0.4350988 -0.2803898 0	0 0 0 1	
0.245225 -0.1503043 -0.9577441 0	0.4585785 0.8883815 -0.02200235 0	-0.8541492 0.4338052 -0.2867796 0	0 0 0 1	
0.2538809 -0.1542555 -0.9548559 0	0.4576453 0.8888648 -0.02191421 0	-0.8521181 0.4314217 -0.29626 0	0 0 0 1	
0.2617679 -0.1575575 -0.9521835 0	0.4566949 0.8893609 -0.02161066 0	-0.8502398 0.4292003 -0.3047618 0	0 0 0 1	
0.2708459 -0.1611495 -0.9490382 0	0.4557801 0.8898441 -0.02102305 0	-0.8478839 0.4268587 -0.3144593 0	0 0 0 1	
0.2808656 -0.1655326 -0.9453644 0	0.4549531 0.8902743 -0.02072082 0	-0.8450636 0.4242766 -0.3253569 0	0 0 0 1	
0.2948987 -0.1717095 -0.9399738 0	0.4545339 0.8905033 -0.02007121 0	-0.8404962 0.421331 -0.340656 0	0 0 0 1	
0.3055035 -0.1758475 -0.9358126 0	0.4544278 0.890581 -0.01899652 0	-0.8367574 0.4194557 -0.3519856 0	0 0 0 1	
0.3191156 -0.180335 -0.9304002 0	0.4543979 0.8906409 -0.01677585 0	-0.8316777 0.4174185 -0.3661612 0	0 0 0 1	
0.328961 -0.183534 -0.9263368 0	0.454351 0.8906944 -0.01512299 0	-0.8278586 0.4159072 -0.3763926 0	0 0 0 1	
0.3386762 -0.1865876 -0.9222167 5.692272E-10	0.4540696 0.8908641 -0.01349099 -1.61741E-09	-0.8240869 0.4141815 -0.3864381 -1.264079E-09	0 0 0 1	
