-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
0.1267912 -0.07133313 -0.9893612 0	0.4033389 0.9149393 -0.01427755 0	-0.906224 0.3972376 -0.1447777 0	0 0 0 1	
0.1280473 -0.070384 -0.9892673 0	0.4032008 0.9150205 -0.01291263 0	-0.9061087 0.39722 -0.1455448 0	0 0 0 1	
0.1295987 -0.06943166 -0.9891326 0	0.4035554 0.9148849 -0.01134501 0	-0.9057301 0.3976995 -0.1465874 0	0 0 0 1	
0.1271354 -0.06871472 -0.9895024 0	0.4042763 0.9145638 -0.01156759 0	-0.9057579 0.3985617 -0.1440531 0	0 0 0 1	
0.1282348 -0.06861843 -0.9893671 0	0.4048229 0.9143296 -0.01094386 0	-0.9053586 0.3991151 -0.1450272 0	0 0 0 1	
0.1287184 -0.06841935 -0.9893181 0	0.4053551 0.9140993 -0.01047735 0	-0.9050518 0.3996765 -0.1453955 0	0 0 0 1	
0.1293658 -0.06802087 -0.9892612 0	0.4054431 0.9140674 -0.009830728 0	-0.9049202 0.3998173 -0.1458277 0	0 0 0 1	
0.1300376 -0.06755815 -0.9892048 0	0.4050872 0.9142319 -0.009186402 0	-0.9049832 0.3995196 -0.1462515 0	0 0 0 1	
0.1309296 -0.06730761 -0.9891042 0	0.4043095 0.9145807 -0.008717149 0	-0.9052023 0.3987629 -0.1469588 0	0 0 0 1	
0.1321203 -0.06767693 -0.9889207 0	0.4028675 0.9152159 -0.008809596 0	-0.9056722 0.3972401 -0.1481835 0	0 0 0 1	
0.1309165 -0.05541709 -0.9898434 0	0.4038943 0.914803 0.002203092 0	-0.9053897 0.4000804 -0.1421454 0	0 0 0 1	
0.1310235 -0.05325565 -0.9899479 0	0.4030304 0.9151773 0.004109427 0	-0.9057591 0.3995175 -0.1413733 0	0 0 0 1	
0.1307955 -0.05016138 -0.9901395 0	0.4019344 0.9156439 0.0067074 0	-0.9062788 0.3988485 -0.1399237 0	0 0 0 1	
0.1300062 -0.05020469 -0.9902414 0	0.4014814 0.9158456 0.006276608 0	-0.9065932 0.3983795 -0.1392218 0	0 0 0 1	
0.1300088 -0.05099577 -0.9902006 0	0.4003406 0.9163507 0.005370408 0	-0.907097 0.3971157 -0.1395493 0	0 0 0 1	
0.1303815 -0.05120136 -0.990141 0	0.39859 0.9171153 0.005061105 0	-0.9078143 0.3953201 -0.1399832 0	0 0 0 1	
0.1309116 -0.05104686 -0.9900789 0	0.3973482 0.917653 0.005226001 0	-0.9082822 0.3940902 -0.1404148 0	0 0 0 1	
0.1314659 -0.05083983 -0.9900162 0	0.3971222 0.9177486 0.005605802 0	-0.908301 0.3938944 -0.1408422 0	0 0 0 1	
0.1321121 -0.04965548 -0.9899903 0	0.3962759 0.9181061 0.006832242 0	-0.9085768 0.3932119 -0.1409702 0	0 0 0 1	
0.1324487 -0.04884104 -0.9899858 0	0.3955002 0.9184344 0.007602304 0	-0.9088658 0.3925465 -0.1409621 0	0 0 0 1	
0.1326367 -0.04884395 -0.9899605 0	0.3950149 0.9186432 0.007599622 0	-0.9090493 0.3920572 -0.1411399 0	0 0 0 1	
0.1324236 -0.04899012 -0.9899818 0	0.3928884 0.9195591 0.007049039 0	-0.9100016 0.3898858 -0.141019 0	0 0 0 1	
0.1320356 -0.04882748 -0.9900416 0	0.3902485 0.9206856 0.006638035 0	-0.911193 0.3872387 -0.1406181 0	0 0 0 1	
0.1313487 -0.04838564 -0.9901547 0	0.3876958 0.9217653 0.006386012 0	-0.9123812 0.3847176 -0.1398316 0	0 0 0 1	
0.1296338 -0.04646136 -0.9904729 0	0.3819448 0.9241613 0.006638452 0	-0.9150483 0.3791665 -0.1375483 0	0 0 0 1	
0.1276489 -0.04407445 -0.9908397 0	0.3762251 0.9264998 0.007256225 0	-0.917693 0.373705 -0.1348486 0	0 0 0 1	
0.1241806 -0.04033664 -0.9914395 0	0.3689249 0.9294213 0.008395419 0	-0.9211264 0.3668092 -0.1302972 0	0 0 0 1	
0.1168253 -0.03377068 -0.9925783 0	0.3577214 0.9337712 0.01033355 0	-0.926492 0.3562737 -0.1211687 0	0 0 0 1	
0.1090981 -0.02686085 -0.9936681 0	0.3481569 0.9373477 0.01288693 0	-0.9310663 0.3473583 -0.1116147 0	0 0 0 1	
0.09329724 -0.01391794 -0.995541 0	0.3331897 0.9426871 0.01804589 0	-0.9382325 0.3333877 -0.09258741 0	0 0 0 1	
0.07613152 -0.004251689 -0.9970888 0	0.3217997 0.9465851 0.02053431 0	-0.943742 0.3224262 -0.0734331 0	0 0 0 1	
0.05625516 0.003813222 -0.9984092 0	0.3111433 0.9501274 0.02116014 0	-0.9486967 0.3118386 -0.05226314 0	0 0 0 1	
0.03582662 0.009401649 -0.9993139 0	0.3020369 0.9530907 0.01979521 0	-0.952623 0.3025388 -0.03130639 0	0 0 0 1	
0.009729207 0.01299381 -0.9998683 0	0.2934702 0.9558461 0.01527736 0	-0.9559188 0.2935801 -0.00548631 0	0 0 0 1	
-0.00875175 0.01282151 -0.9998796 0	0.2910181 0.9566682 0.009720236 0	-0.9566777 0.2908979 0.0121038 0	0 0 0 1	
-0.02770317 0.01004918 -0.9995657 0	0.2925094 0.9562615 0.001506865 0	-0.9558613 0.2923406 0.02943099 0	0 0 0 1	
-0.055825 0.005998924 -0.9984226 0	0.3024223 0.9531084 -0.0111827 0	-0.951538 0.3025695 0.05502141 0	0 0 0 1	
-0.0777384 0.004222319 -0.9969649 0	0.3149291 0.948893 -0.02053787 0	-0.9459262 0.3155698 0.07509518 0	0 0 0 1	
-0.1018947 0.004134923 -0.9947866 0	0.3309542 0.9431705 -0.02997886 0	-0.9381294 0.3322835 0.09747255 0	0 0 0 1	
-0.1379083 0.007227063 -0.9904188 0	0.3546355 0.9340353 -0.04256463 0	-0.9247785 0.3571076 0.1313742 0	0 0 0 1	
-0.1673628 0.01119924 -0.9858318 -7.019179E-09	0.3715973 0.9269053 -0.05255555 -5.618236E-10	-0.9131841 0.3751282 0.159291 3.04822E-09	0 0 0 1	
-0.1954476 0.01367866 -0.9806188 -0.009841063	0.3893788 0.9187961 -0.06479096 0.003165558	-0.9001025 0.3944954 0.1849027 0.003941986	0 0 0 1	
-0.2258306 0.01841642 -0.9739925 -0.02014238	0.407707 0.9098326 -0.07732794 0.006233679	-0.8847461 0.4145665 0.2129766 0.008610039	0 0 0 1	
-0.2587813 0.0253755 -0.9656025 -0.03084997	0.4238955 0.9012364 -0.08991998 0.0092094	-0.8679544 0.4325842 0.2439797 0.0138093	0 0 0 1	
-0.2938147 0.03408648 -0.9552544 -0.04188407	0.436069 0.8940887 -0.1022211 0.01209222	-0.8505979 0.4465909 0.2775605 0.01933668	0 0 0 1	
-0.3301852 0.0436161 -0.942908 -0.05323027	0.4427223 0.8893964 -0.1138906 0.01489292	-0.8336515 0.4550513 0.3129754 0.02500887	0 0 0 1	
-0.3643558 0.05275427 -0.9297648 -0.06380045	0.4439235 0.8874981 -0.1236083 0.01678607	-0.8186436 0.4577817 0.346784 0.03063321	0 0 0 1	
-0.3995252 0.06155194 -0.9146534 -0.07562727	0.4381683 0.8892143 -0.1315541 0.01967759	-0.8052255 0.4533314 0.3822336 0.03624982	0 0 0 1	
-0.4325067 0.06912275 -0.8989773 -0.08762123	0.4268052 0.893967 -0.1366026 0.02281752	-0.7942137 0.4427697 0.4161487 0.04181633	0 0 0 1	
-0.4628674 0.07498761 -0.8832502 -0.09978322	0.4119856 0.9004559 -0.1394527 0.02616006	-0.7848706 0.4284345 0.4476855 0.04743105	0 0 0 1	
-0.4910536 0.07739167 -0.8676848 -0.1123828	0.3951788 0.9074516 -0.142707 0.02945483	-0.7763377 0.4129674 0.4761908 0.05326015	0 0 0 1	
-0.5170672 0.07669985 -0.8525015 -0.125464	0.3781391 0.9139837 -0.147121 0.03253746	-0.7678883 0.3984355 0.5015942 0.05949287	0 0 0 1	
-0.5386331 0.07465646 -0.8392263 -0.1379849	0.3635604 0.9191568 -0.1515738 0.03536259	-0.7600647 0.3867521 0.5222304 0.0664295	0 0 0 1	
-0.5611461 0.07312007 -0.8244808 -0.1512024	0.3516942 0.9227654 -0.1575284 0.0379681	-0.7492838 0.3783616 0.5435221 0.07428594	0 0 0 1	
-0.5839417 0.07198881 -0.8085973 -0.1641167	0.3432246 0.9245479 -0.1655535 0.04014931	-0.735669 0.3742041 0.5645905 0.08348017	0 0 0 1	
-0.6068355 0.07104278 -0.7916464 -0.1766552	0.3369502 0.9250643 -0.1752729 0.04194116	-0.719872 0.3731071 0.5852998 0.09390564	0 0 0 1	
-0.6285517 0.07059661 -0.7745572 -0.1888046	0.3314421 0.925233 -0.1846349 0.04371256	-0.7036112 0.3727735 0.6049556 0.1050686	0 0 0 1	
-0.648785 0.07077588 -0.7576733 -0.2005386	0.3264529 0.9252778 -0.1931048 0.04563481	-0.6873912 0.3726281 0.6234114 0.1167491	0 0 0 1	
-0.6650139 0.07288197 -0.7432663 -0.2094925	0.3233516 0.9252067 -0.1985862 0.04827034	-0.6732016 0.3723989 0.6388417 0.1295599	0 0 0 1	
-0.6819968 0.07717024 -0.7272725 -0.2195944	0.3217302 0.9246856 -0.2035836 0.05101237	-0.6567878 0.3728288 0.6554606 0.142437	0 0 0 1	
-0.6974616 0.08345161 -0.7117471 -0.2288206	0.3227189 0.9233621 -0.2079782 0.05412334	-0.6398442 0.3747509 0.670941 0.1561363	0 0 0 1	
-0.7113205 0.09037415 -0.6970335 -0.2374358	0.3259873 0.9210073 -0.2132554 0.0572724	-0.6227002 0.378917 0.6845922 0.1706246	0 0 0 1	
-0.7247508 0.09687454 -0.6821674 -0.2455708	0.3316015 0.9169056 -0.2220914 0.05965574	-0.6039681 0.3871685 0.6966518 0.186358	0 0 0 1	
-0.7373942 0.1006802 -0.6679171 -0.2538624	0.3378605 0.9112186 -0.23565 0.0606107	-0.5848932 0.3994297 0.7059432 0.2029299	0 0 0 1	
-0.747241 0.1011325 -0.6568128 -0.2619573	0.3447151 0.9039745 -0.2529854 0.05937866	-0.568157 0.4154544 0.7103487 0.2210921	0 0 0 1	
-0.7589025 0.1000321 -0.6434753 -0.2704954	0.3503662 0.8956435 -0.2739821 0.05684351	-0.5489174 0.4333778 0.7147541 0.2388707	0 0 0 1	
-0.7693245 0.09822977 -0.631261 -0.278946	0.3562906 0.8861429 -0.2963237 0.05293692	-0.5302796 0.4528815 0.7167299 0.2567191	0 0 0 1	
