-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
-0.002179623 -0.09715085 -0.9952674 0	0.5902546 0.8032727 -0.07970229 0	-0.8072144 0.5876348 -0.05559283 0	0 0 0 1	
-0.01823068 -0.09668034 -0.9951485 0	0.5880756 0.8039082 -0.08887428 0	-0.8086004 0.5868428 -0.04219955 0	0 0 0 1	
-0.01806188 -0.09671398 -0.9951485 0	0.5875112 0.8043255 -0.08883196 0	-0.8090146 0.5862652 -0.04229289 0	0 0 0 1	
-0.02092862 -0.09634589 -0.9951279 0	0.5864193 0.8049622 -0.09026754 0	-0.8097373 0.5854514 -0.03965235 0	0 0 0 1	
-0.02665627 -0.09554276 -0.9950685 0	0.5850587 0.8056378 -0.09302704 0	-0.8105529 0.5846531 -0.03442276 0	0 0 0 1	
-0.03304505 -0.09441935 -0.9949839 0	0.5831546 0.8066788 -0.09591761 0	-0.8116889 0.5833991 -0.02840424 0	0 0 0 1	
-0.03975463 -0.09296277 -0.9948756 0	0.5804585 0.8082833 -0.09872201 0	-0.8133188 0.5814087 -0.02182806 0	0 0 0 1	
-0.04888725 -0.09027858 -0.994716 0	0.5758949 0.8111455 -0.1019215 0	-0.8160609 0.5778345 -0.01233625 0	0 0 0 1	
-0.05636728 -0.08783598 -0.994539 0	0.5724016 0.8133165 -0.1042725 0	-0.8180339 0.5751531 -0.004432976 0	0 0 0 1	
-0.0735991 -0.08309865 -0.9938198 0	0.5678219 0.8157336 -0.110259 0	-0.8198545 0.5724276 0.01285207 0	0 0 0 1	
-0.09222448 -0.07418235 -0.9929711 0	0.5655519 0.8168579 -0.1135523 0	-0.81954 0.572049 0.03338039 0	0 0 0 1	
-0.1151851 -0.07072414 -0.9908231 0	0.5605383 0.8188509 -0.1236125 0	-0.8200788 0.5696326 0.05467582 0	0 0 0 1	
-0.1427933 -0.06595229 -0.9875529 0	0.555818 0.820245 -0.1351463 0	-0.8189485 0.5681975 0.08046806 0	0 0 0 1	
-0.1827782 -0.0564283 -0.9815335 0	0.5507716 0.8211091 -0.1497685 0	-0.8143972 0.5679752 0.1190017 0	0 0 0 1	
-0.2104059 -0.0465734 -0.9765043 0	0.5479558 0.8215937 -0.1572523 0	-0.8096135 0.5681679 0.147348 0	0 0 0 1	
-0.2360957 -0.03273398 -0.9711784 0	0.5469655 0.8215941 -0.1606607 0	-0.8031735 0.5691323 0.1760705 0	0 0 0 1	
-0.2730576 -0.009067059 -0.9619551 0	0.547206 0.8209598 -0.1630662 0	-0.7912051 0.570914 0.2192078 0	0 0 0 1	
-0.2945051 0.009032667 -0.9556073 0	0.5481255 0.8207214 -0.161167 0	-0.7828315 0.5712572 0.2466576 0	0 0 0 1	
-0.3076148 0.02366492 -0.9512168 0	0.5490545 0.820882 -0.1571367 0	-0.7771182 0.5706074 0.2655088 0	0 0 0 1	
-0.3183926 0.03628448 -0.9472643 0	0.5458426 0.824003 -0.1519045 0	-0.7750368 0.5654225 0.2821621 0	0 0 0 1	
-0.3249066 0.04301569 -0.9447675 0	0.54656 0.8237934 -0.1504548 0	-0.7718213 0.5652559 0.2911665 0	0 0 0 1	
-0.3342332 0.04996608 -0.9411653 0	0.5471238 0.8233954 -0.1505845 0	-0.767427 0.5652641 0.3025436 0	0 0 0 1	
-0.3460994 0.05863437 -0.9363639 0	0.5444678 0.8253395 -0.1495644 0	-0.7640485 0.5615841 0.317574 0	0 0 0 1	
-0.351319 0.06326409 -0.934116 0	0.5441771 0.8256795 -0.1487437 0	-0.7618703 0.560581 0.3245037 0	0 0 0 1	
-0.3572755 0.06647949 -0.9316302 0	0.540324 0.8283207 -0.1481039 0	-0.7618428 0.556296 0.3318591 0	0 0 0 1	
-0.366367 0.06702954 -0.9280529 0	0.5357862 0.8306476 -0.1515177 0	-0.7607288 0.552749 0.3402354 0	0 0 0 1	
-0.3682432 0.06336905 -0.9275677 0	0.5318465 0.832673 -0.1542561 0	-0.7625856 0.5501273 0.3403288 0	0 0 0 1	
-0.3716121 0.05831978 -0.9265546 0	0.5141053 0.843958 -0.1530706 0	-0.7730461 0.5332295 0.3436075 0	0 0 0 1	
-0.3709253 0.06644075 -0.926283 0	0.5067624 0.8503208 -0.1419383 0	-0.7782072 0.5220538 0.3490752 0	0 0 0 1	
-0.3731552 0.06394586 -0.9255627 0	0.5135103 0.845111 -0.1486422 0	-0.7726982 0.5307525 0.3481945 0	0 0 0 1	
-0.3796993 0.06528215 -0.9228037 0	0.5019576 0.8524404 -0.1462324 0	-0.7770888 0.5187327 0.3564399 0	0 0 0 1	
-0.3912369 0.05920641 -0.9183837 0	0.5001261 0.8513849 -0.1581695 0	-0.7725334 0.5211894 0.3627039 0	0 0 0 1	
-0.4011528 0.05522235 -0.9143451 0	0.4980374 0.8509004 -0.1671146 0	-0.7687882 0.5224165 0.368844 0	0 0 0 1	
-0.4124794 0.04967524 -0.9096118 0	0.493832 0.8512592 -0.1774481 0	-0.7655007 0.5223889 0.3756582 0	0 0 0 1	
-0.4159145 0.04590157 -0.9082446 0	0.4928355 0.8507276 -0.1826905 0	-0.7642829 0.5235988 0.3764518 0	0 0 0 1	
-0.4175493 0.03931876 -0.9078032 0	0.4914459 0.8501031 -0.1892237 0	-0.7642863 0.5251464 0.374283 0	0 0 0 1	
-0.419577 0.03857917 -0.9068996 0	0.4929133 0.8486422 -0.1919453 0	-0.7622282 0.5275587 0.3750869 0	0 0 0 1	
-0.4241872 0.03850384 -0.9047555 0	0.492202 0.8484371 -0.1946578 0	-0.7601331 0.5278939 0.3788478 0	0 0 0 1	
-0.4313813 0.0373475 -0.9013963 0	0.4871009 0.8506357 -0.1978676 0	-0.75937 0.5244274 0.3851404 0	0 0 0 1	
-0.4406941 0.0303493 -0.8971444 0	0.4734566 0.8569678 -0.2035805 0	-0.7626453 0.5144756 0.3920296 0	0 0 0 1	
-0.4466332 0.01951529 -0.8945042 -2.663104E-08	0.4610702 0.8618111 -0.211414 -5.096692E-09	-0.7667679 0.5068538 0.3939114 1.244754E-08	0 0 0 1	
-0.4547986 0.01467189 -0.8904736 -0.006050128	0.4529239 0.864718 -0.2170778 -9.218609E-05	-0.7668236 0.5020434 0.3999177 0.006037798	0 0 0 1	
-0.4617008 0.00756216 -0.8870035 -0.01239975	0.4421591 0.8688385 -0.2227441 -8.207688E-05	-0.7689785 0.4950378 0.4044873 0.01221371	0 0 0 1	
-0.4680414 0.0006938875 -0.8837062 -0.01895266	0.4316348 0.8727785 -0.2279235 -9.668036E-05	-0.7711216 0.488116 0.408796 0.01862998	0 0 0 1	
-0.4743257 -0.006756142 -0.8803236 -0.02594218	0.4211395 0.8763871 -0.2336393 -0.0001085403	-0.7730827 0.4815601 0.4128476 0.02539947	0 0 0 1	
-0.4821633 -0.01746774 -0.8759074 -0.03379291	0.4080047 0.8802814 -0.2421505 1.700758E-05	-0.7752748 0.4741303 0.4173125 0.03255073	0 0 0 1	
-0.4930096 -0.03129846 -0.8694609 -0.04250363	0.3903948 0.885137 -0.2532279 0.0003353404	-0.7775177 0.4642767 0.4241623 0.04003933	0 0 0 1	
-0.6113274 -0.03581925 -0.7905672 -0.02902711	0.3440335 0.8876106 -0.3062492 -0.004701611	-0.7126854 0.4591999 0.5302976 0.03928329	0 0 0 1	
-0.6380092 -0.04998052 -0.768405 -0.03622033	0.306154 0.8991646 -0.3126864 -0.003423377	-0.7065508 0.434747 0.5583735 0.04747095	0 0 0 1	
-0.6568344 -0.07137236 -0.7506495 -0.04366148	0.2582868 0.9139889 -0.3129093 -0.00116477	-0.7084184 0.3994125 0.5819048 0.05526393	0 0 0 1	
-0.6601428 -0.09480017 -0.7451341 -0.05104795	0.2092808 0.9295094 -0.3036672 0.002089019	-0.7213969 0.3564059 0.5937692 0.06256661	0 0 0 1	
-0.6642214 -0.1110632 -0.7392399 -0.05718137	0.1654633 0.9425291 -0.2902772 0.006147945	-0.7289942 0.3151253 0.6076711 0.07027201	0 0 0 1	
-0.7434534 -0.1319494 -0.6556422 -0.07616728	0.0917962 0.9509323 -0.2954678 0.01232344	-0.6624581 0.279852 0.6948613 0.0722067	0 0 0 1	
-0.7577152 -0.1410922 -0.6371505 -0.08020171	0.05873547 0.9576407 -0.281912 0.01604714	-0.6499369 0.2510323 0.7173319 0.0822866	0 0 0 1	
-0.7767643 -0.1448432 -0.6129095 -0.08237439	0.03298807 0.9625007 -0.2692659 0.01997186	-0.6289272 0.2293748 0.7428582 0.09380183	0 0 0 1	
-0.7912281 -0.1413969 -0.5949497 -0.08332092	0.01854569 0.9669053 -0.2544606 0.02457047	-0.61124 0.2123701 0.7624203 0.1056993	0 0 0 1	
-0.7953024 -0.1336068 -0.5913067 -0.08460824	0.01092155 0.9720944 -0.2343358 0.03025384	-0.6061147 0.1928258 0.7716498 0.1166961	0 0 0 1	
-0.7965187 -0.1255442 -0.5914364 -0.08593549	0.002475508 0.9775192 -0.2108319 0.03699122	-0.6046092 0.1693956 0.7783015 0.1271447	0 0 0 1	
-0.7958193 -0.1204939 -0.5934249 -0.08765711	-0.007770844 0.9819535 -0.1889628 0.04433826	-0.6054845 0.1457688 0.7823938 0.1374409	0 0 0 1	
-0.843887 -0.1263532 -0.5214304 -0.1110685	-0.03913174 0.98378 -0.1750588 0.04677926	-0.535092 0.1273253 0.8351436 0.149188	0 0 0 1	
