-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
0.4469374 -0.0458125 -0.8933914 0	0.2488015 0.9656502 0.07495017 0	-0.8592699 0.2557751 -0.4429834 0	0 0 0 1	
0.4523828 -0.04680999 -0.8905945 0	0.2478426 0.9658831 0.07512597 0	-0.8566936 0.254713 -0.4485504 0	0 0 0 1	
0.4523821 -0.0466275 -0.8906045 0	0.2475615 0.9659513 0.07517649 0	-0.8567753 0.2544878 -0.4485223 0	0 0 0 1	
0.4544909 -0.04580502 -0.8895729 0	0.2476649 0.9657966 0.07680441 0	-0.8556286 0.2552229 -0.4502901 0	0 0 0 1	
0.4575062 -0.04533558 -0.88805 0	0.247731 0.9656572 0.07832877 0	-0.8540008 0.2558334 -0.4530252 0	0 0 0 1	
0.4604788 -0.04534651 -0.8865117 0	0.2473144 0.9657041 0.07906462 0	-0.8525226 0.2556547 -0.455901 0	0 0 0 1	
0.4635658 -0.04546656 -0.8848952 0	0.2463908 0.9659088 0.07944649 0	-0.8511159 0.2548588 -0.4589648 0	0 0 0 1	
0.4669701 -0.04527349 -0.8831134 0	0.2450627 0.9661968 0.0800507 0	-0.8496372 0.2537994 -0.4622798 0	0 0 0 1	
0.4693969 -0.04515385 -0.881832 0	0.2443821 0.9663231 0.0806038 0	-0.8484951 0.2533391 -0.4646239 0	0 0 0 1	
0.4711577 -0.05159804 -0.8805386 0	0.2539128 0.9639645 0.07937675 0	-0.8447123 0.260979 -0.4672807 0	0 0 0 1	
0.4720786 -0.04871546 -0.8802094 0	0.2514374 0.9644382 0.08147511 0	-0.8449385 0.2597802 -0.4675395 0	0 0 0 1	
0.4733378 -0.04630787 -0.8796631 0	0.2502293 0.9645472 0.0838695 0	-0.8445927 0.2598161 -0.4681442 0	0 0 0 1	
0.4750204 -0.04500557 -0.8788232 0	0.2491493 0.9647043 0.08526625 0	-0.843967 0.2594614 -0.4694673 0	0 0 0 1	
0.4773443 -0.04601554 -0.8775107 0	0.2477759 0.9651539 0.08417256 0	-0.8430597 0.2576053 -0.4721123 0	0 0 0 1	
