0 1 0 0	0 0 -1 0	1 0 0 0	0 0 0 1	
-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
0.4818308 -0.09330781 -0.8712824 0	0.3104166 0.9480094 0.07013989 0	-0.8194394 0.3042561 -0.4857444 0	0 0 0 1	
0.495077 -0.09414625 -0.8637334 0	0.3073457 0.9488133 0.07274535 0	-0.812673 0.3014792 -0.4986711 0	0 0 0 1	
0.5112134 -0.09349901 -0.8543528 0	0.3028049 0.9499183 0.07722985 0	-0.8043444 0.2981832 -0.5139229 0	0 0 0 1	
0.5224844 -0.09211089 -0.8476589 0	0.2993565 0.9506788 0.08121336 0	-0.7983707 0.2961849 -0.5242888 0	0 0 0 1	
0.5306878 -0.09043697 -0.8427287 0	0.2962184 0.9513804 0.08443941 0	-0.7941191 0.2944427 -0.531675 0	0 0 0 1	
0.5418472 -0.08827534 -0.8358284 0	0.2919393 0.9523169 0.08867903 0	-0.7881452 0.2920617 -0.5417813 0	0 0 0 1	
0.5490699 -0.08767661 -0.8311649 0	0.2895196 0.952861 0.09074359 0	-0.7840285 0.2904631 -0.5485713 0	0 0 0 1	
0.5594198 -0.0885447 -0.8241416 0	0.2874094 0.9533145 0.09266801 0	-0.7774609 0.2887064 -0.5587515 0	0 0 0 1	
0.5664657 -0.09013784 -0.8191409 0	0.2863678 0.9535856 0.09310172 0	-0.772729 0.2873145 -0.5659862 0	0 0 0 1	
0.5758345 -0.09010381 -0.8125859 0	0.2816843 0.9549184 0.09372764 0	-0.767508 0.2828643 -0.5752558 0	0 0 0 1	
0.5821724 -0.09081736 -0.8079774 0	0.2786458 0.9558479 0.0933347 0	-0.7638271 0.2794764 -0.5817741 0	0 0 0 1	
0.5916884 -0.08896679 -0.8012427 0	0.2735263 0.9570901 0.09571771 0	-0.7583458 0.275796 -0.5906339 0	0 0 0 1	
0.5978717 -0.08571623 -0.7969957 0	0.2680194 0.9584183 0.09797943 0	-0.7554569 0.2721894 -0.5959848 0	0 0 0 1	
0.6034535 -0.08527778 -0.792825 0	0.2652254 0.9591204 0.09870968 0	-0.7519969 0.269844 -0.6014024 0	0 0 0 1	
0.6110178 -0.08275212 -0.7872797 0	0.261298 0.959864 0.101904 0	-0.7472487 0.2679798 -0.608117 0	0 0 0 1	
0.615839 -0.07896139 -0.7839052 0	0.2578486 0.9603718 0.1058304 0	-0.744484 0.2673033 -0.6117945 0	0 0 0 1	
0.6211891 -0.07752082 -0.7798171 0	0.2547243 0.9610341 0.1073736 0	-0.7411071 0.2653376 -0.6167303 0	0 0 0 1	
0.6245011 -0.07522665 -0.7773927 0	0.2523277 0.9614071 0.1096685 0	-0.7391408 0.2646458 -0.6193815 0	0 0 0 1	
0.6286795 -0.07382486 -0.7741525 0	0.2501982 0.9617566 0.1114676 0	-0.7363172 0.2637689 -0.6231075 0	0 0 0 1	
0.6320845 -0.07282603 -0.7714698 0	0.2482339 0.9621384 0.1125593 0	-0.7340634 0.262652 -0.6262307 0	0 0 0 1	
0.6353925 -0.06947283 -0.7690579 0	0.2458549 0.9623172 0.1161935 0	-0.7320054 0.2629051 -0.6285294 0	0 0 0 1	
0.6404198 -0.06366364 -0.7653818 0	0.2404343 0.9630852 0.1210708 0	-0.7294202 0.2615602 -0.6320858 0	0 0 0 1	
0.6438881 -0.06039994 -0.7627319 0	0.2361702 0.9638902 0.1230422 0	-0.727758 0.25936 -0.634902 0	0 0 0 1	
0.6459461 -0.0573373 -0.7612266 0	0.2311928 0.9650387 0.123492 0	-0.7275324 0.2557593 -0.636619 0	0 0 0 1	
0.6469262 -0.05705428 -0.7604153 0	0.229718 0.9654542 0.1229951 0	-0.7271287 0.2542498 -0.637684 0	0 0 0 1	
0.6489691 -0.05699152 -0.7586772 0	0.2291932 0.9655117 0.123522 0	-0.7254721 0.2540456 -0.6396493 0	0 0 0 1	
0.652385 -0.05508654 -0.7558832 0	0.2278167 0.9654831 0.1262617 0	-0.7228371 0.254574 -0.6424162 0	0 0 0 1	
0.6587732 -0.05268943 -0.7504942 0	0.2251146 0.9656466 0.129808 0	-0.7178727 0.2544613 -0.6480033 0	0 0 0 1	
0.6638018 -0.0523693 -0.7460728 0	0.2231853 0.9659646 0.13077 0	-0.7138316 0.2533179 -0.652897 0	0 0 0 1	
0.6694434 -0.05156325 -0.7410714 0	0.2194807 0.966782 0.1309988 0	-0.7096998 0.2503472 -0.658523 0	0 0 0 1	
0.6728337 -0.05102359 -0.7380321 0	0.2166679 0.9674646 0.130642 0	-0.7073541 0.2478082 -0.661998 0	0 0 0 1	
0.6755608 -0.04917604 -0.7356625 0	0.2137975 0.9679697 0.131626 0	-0.7056261 0.2462041 -0.6644361 0	0 0 0 1	
0.6791348 -0.04536343 -0.7326105 0	0.2100465 0.9683605 0.1347534 0	-0.7033181 0.2453979 -0.6671758 0	0 0 0 1	
0.6823578 -0.04154725 -0.7298367 0	0.2068194 0.9685653 0.1382277 0	-0.7011516 0.2452652 -0.6695009 0	0 0 0 1	
0.6854888 -0.03826673 -0.7270768 0	0.2040063 0.9687108 0.1413532 0	-0.698918 0.2452243 -0.6718471 0	0 0 0 1	
0.6893882 -0.035745 -0.7235097 0	0.2012531 0.9689128 0.1438926 0	-0.6958744 0.2448064 -0.6751509 0	0 0 0 1	
0.6923622 -0.03563694 -0.7206695 0	0.2000729 0.9690978 0.1442925 0	-0.6932571 0.2440891 -0.6780967 0	0 0 0 1	
0.6963836 -0.03740425 -0.7166944 0	0.1993437 0.9694248 0.1431001 0	-0.6894287 0.242521 -0.6825478 0	0 0 0 1	
0.6996562 -0.03939793 -0.7133926 0	0.1990505 0.9696957 0.1416653 0	-0.6861925 0.2411182 -0.6862958 0	0 0 0 1	
0.7025708 -0.04120187 -0.7104201 0	0.1986776 0.9699813 0.1402269 0	-0.6833166 0.2396639 -0.6896664 0	0 0 0 1	
0.7052262 -0.04236049 -0.7077157 0	0.1979773 0.9702716 0.1392051 0	-0.6807797 0.2382827 -0.6926474 0	0 0 0 1	
0.7085319 -0.04279082 -0.7043802 0	0.1962985 0.9707156 0.1384848 0	-0.6778271 0.2363897 -0.6961827 0	0 0 0 1	
0.710639 -0.04247268 -0.7022737 0	0.1948904 0.970999 0.1384871 0	-0.6760252 0.2352807 -0.6983073 0	0 0 0 1	
0.7134751 -0.04139717 -0.6994566 0	0.1929331 0.9712713 0.1393154 0	-0.6735949 0.2343465 -0.7009648 0	0 0 0 1	
0.7158034 -0.03974993 -0.6971696 0	0.1912942 0.9713489 0.1410245 0	-0.6715892 0.2343103 -0.7028988 0	0 0 0 1	
0.7181716 -0.03730401 -0.6948655 0	0.1898525 0.9711829 0.1440821 0	-0.6694666 0.2353977 -0.7045583 0	0 0 0 1	
0.7214813 -0.03441492 -0.6915781 0	0.1884154 0.9708354 0.1482508 0	-0.6663065 0.2372641 -0.7069239 0	0 0 0 1	
0.7237136 -0.03225033 -0.6893464 0	0.1872922 0.9705945 0.1512214 0	-0.664199 0.2385502 -0.7084727 0	0 0 0 1	
