-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
0.05664057 -0.05821516 0.9966959 0	-0.4047688 0.9112364 0.07622597 0	0.9126632 0.407749 -0.02804929 0	0 0 0 1	
0.06946713 -0.05564895 0.9960309 0	-0.3950215 0.9152957 0.07868859 0	0.9160417 0.3989199 -0.04160041 0	0 0 0 1	
0.08090621 -0.05314766 0.9953037 0	-0.3873035 0.9184289 0.08052579 0	0.9183955 0.3919996 -0.05372232 0	0 0 0 1	
0.09316319 -0.04996282 0.9943964 0	-0.3796845 0.9214861 0.08187145 0	0.9204131 0.3851843 -0.0668785 0	0 0 0 1	
0.111301 -0.04448433 0.9927908 0	-0.3695735 0.925496 0.0829017 0	0.9225116 0.3761361 -0.08656842 0	0 0 0 1	
0.1264072 -0.03998193 0.9911724 0	-0.3610032 0.9288182 0.08350657 0	0.9239578 0.3683723 -0.1029757 0	0 0 0 1	
0.1413608 -0.03637707 0.9892896 0	-0.3512847 0.9324493 0.08448254 0	0.9255357 0.3594648 -0.119033 0	0 0 0 1	
0.1591471 -0.03386219 0.986674 0	-0.3376534 0.9372756 0.08662917 0	0.9277189 0.3469406 -0.137731 0	0 0 0 1	
0.1711863 -0.03277013 0.9846935 0	-0.3271483 0.9408493 0.08818489 0	0.9293381 0.3372369 -0.1503398 0	0 0 0 1	
0.1841283 -0.0310531 0.9824117 0	-0.3163438 0.9444469 0.08914378 0	0.9306039 0.3271937 -0.164076 0	0 0 0 1	
0.203387 -0.02810588 0.978695 0	-0.3021391 0.9490018 0.09004205 0	0.9313141 0.3140154 -0.1845227 0	0 0 0 1	
0.2179323 -0.02683242 0.9755949 0	-0.29162 0.9521641 0.09133122 0	0.9313771 0.304407 -0.1996824 0	0 0 0 1	
0.2351329 -0.02723385 0.9715816 0	-0.2773913 0.9561541 0.09393302 0	0.93154 0.291595 -0.2172688 0	0 0 0 1	
0.2473109 -0.02768129 0.9685408 0	-0.2668821 0.9589803 0.09555478 0	0.9314567 0.2821179 -0.2297786 0	0 0 0 1	
0.2605624 -0.02708322 0.9650771 0	-0.2562536 0.9618129 0.09617788 0	0.9308284 0.2723648 -0.2436721 0	0 0 0 1	
0.2746221 -0.02546782 0.9612151 0	-0.2457007 0.9646047 0.09575512 0	0.9296312 0.2624676 -0.2586443 0	0 0 0 1	
0.2929857 -0.02239428 0.9558545 0	-0.2336392 0.967741 0.09428716 0	0.9271311 0.2509499 -0.2783021 0	0 0 0 1	
0.3051674 -0.01978778 0.9520931 0	-0.2263841 0.9696156 0.09271319 0	0.924999 0.2438318 -0.2914155 0	0 0 0 1	
0.3192894 -0.01562725 0.9475284 0	-0.2169648 0.9721007 0.08914333 0	0.9224861 0.2340429 -0.3069909 0	0 0 0 1	
0.328146 -0.01573143 0.944496 0	-0.2103867 0.9735303 0.08930963 0	0.9209005 0.228016 -0.3161504 0	0 0 0 1	
0.3355298 -0.01188959 0.9419546 0	-0.2044246 0.9751739 0.08512615 0	0.9195817 0.221121 -0.3247694 0	0 0 0 1	
0.3430833 -0.0646795 0.9370755 0	-0.2190384 0.9646136 0.1467749 0	0.913409 0.2556115 -0.3167754 0	0 0 0 1	
0.3524938 -0.0864809 0.9318097 0	-0.2222667 0.9594911 0.1731312 0	0.9090356 0.2681379 -0.3189929 0	0 0 0 1	
0.3589209 -0.09106495 0.9289149 0	-0.2218515 0.9583836 0.1796744 0	0.9066188 0.2705701 -0.323781 0	0 0 0 1	
0.3668588 -0.09547295 0.9253646 0	-0.22387 0.9564267 0.1874305 0	0.9029379 0.2759219 -0.3295 0	0 0 0 1	
0.3719711 -0.09740575 0.9231195 0	-0.2198114 0.9569505 0.1895486 0	0.9018428 0.2734188 -0.334547 0	0 0 0 1	
0.3757976 -0.1021567 0.9210538 0	-0.210015 0.9586573 0.1920152 0	0.9025906 0.2655939 -0.3388067 0	0 0 0 1	
0.3830176 -0.09155495 0.9191927 0	-0.2071223 0.9612279 0.1820474 0	0.900221 0.2601127 -0.3492041 0	0 0 0 1	
0.8063118 -0.09407619 -0.5839614 0	0.2042492 0.9708254 0.1256195 0	-0.5551068 0.2205622 -0.802003 0	0 0 0 1	
0.8035111 -0.08116899 -0.58973 0	0.1850382 0.9756417 0.1178308 0	-0.565801 0.2038009 -0.7989584 0	0 0 0 1	
0.8226298 -0.07273382 -0.5639061 0	0.1687976 0.9783115 0.1200584 0	-0.5429435 0.1939496 -0.8170655 0	0 0 0 1	
0.8308917 -0.07809845 -0.5509261 0	0.1669917 0.9794608 0.1130055 0	-0.530785 0.1858954 -0.8268677 0	0 0 0 1	
0.8366147 -0.07941761 -0.5420043 0	0.1608083 0.9814476 0.1044095 0	-0.5236568 0.1745093 -0.8338645 0	0 0 0 1	
0.8469629 -0.07270263 -0.5266575 0	0.1470534 0.983994 0.1006533 0	-0.5109101 0.1626964 -0.8440976 0	0 0 0 1	
0.8573517 -0.07436517 -0.5093309 0	0.1438092 0.9847112 0.09829934 0	-0.4942338 0.1575236 -0.8549382 0	0 0 0 1	
0.8607321 -0.0753996 -0.5034434 0	0.1433687 0.9848432 0.09761818 0	-0.4884524 0.1562011 -0.8584961 0	0 0 0 1	
0.8639508 -0.0772312 -0.4976186 0	0.1432211 0.9850456 0.09577565 0	-0.4827801 0.1540149 -0.8620921 0	0 0 0 1	
0.8692037 -0.07833988 -0.4882087 0	0.1412069 0.9855782 0.09325412 0	-0.4738624 0.1499953 -0.8677303 0	0 0 0 1	
0.8728782 -0.07856937 -0.4815709 0	0.1396843 0.9858813 0.09233799 0	-0.4675168 0.1478677 -0.8715292 0	0 0 0 1	
0.8779428 -0.08097458 -0.4718681 0	0.1398631 0.9859779 0.09102676 0	-0.4578807 0.1459132 -0.8769576 0	0 0 0 1	
0.8820921 -0.08529273 -0.4632913 0	0.1424752 0.9857167 0.08979619 0	-0.449015 0.145216 -0.881645 0	0 0 0 1	
0.8871988 -0.08955106 -0.4526134 0	0.1455508 0.9852142 0.0903763 0	-0.4378279 0.14606 -0.8871151 0	0 0 0 1	
0.8925958 -0.09448518 -0.4408461 0	0.1489383 0.9846953 0.09051358 0	-0.4255469 0.1464509 -0.8930073 0	0 0 0 1	
0.8995662 -0.09839191 -0.4255582 0	0.1513883 0.9841394 0.09247246 0	-0.40971 0.1476096 -0.9001939 0	0 0 0 1	
0.9049987 -0.09842849 -0.413871 0	0.15064 0.9839761 0.09538648 0	-0.3978505 0.1486702 -0.9053243 0	0 0 0 1	
0.9084331 -0.09777304 -0.4064355 0	0.1496742 0.9838811 0.09785551 0	-0.3903166 0.1497281 -0.9084241 0	0 0 0 1	
0.9131854 -0.09689128 -0.3958594 0	0.1485007 0.983658 0.1018059 0	-0.3795261 0.151753 -0.9126505 0	0 0 0 1	
