0 1 0 0	0 0 -1 0	1 0 0 0	0 0 0 1	
-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
0.2182274 -0.143212 -0.9653327 0	0.5271791 0.8497263 -0.006884754 0	-0.8212546 0.5074008 -0.2609318 0	0 0 0 1	
0.2180297 -0.1440519 -0.9652523 0	0.5269313 0.849872 -0.007810369 0	-0.821466 0.5069188 -0.2612028 0	0 0 0 1	
0.2181648 -0.1449157 -0.9650925 0	0.5262663 0.8502752 -0.008709446 0	-0.8218564 0.5059956 -0.2617643 0	0 0 0 1	
0.219385 -0.14518 -0.9647762 0	0.5256922 0.8506327 -0.008463979 0	-0.821899 0.5053185 -0.2629361 0	0 0 0 1	
0.2186087 -0.145159 -0.9649555 0	0.5250086 0.8510485 -0.00908418 0	-0.8225426 0.504624 -0.2622564 0	0 0 0 1	
0.2182082 -0.1449099 -0.9650835 0	0.5242059 0.8515404 -0.009336606 0	-0.8231606 0.5038652 -0.2617757 0	0 0 0 1	
0.2185908 -0.1445296 -0.9650541 0	0.5226974 0.8524678 -0.009274006 0	-0.8240179 0.5024041 -0.2618868 0	0 0 0 1	
0.2190957 -0.1444443 -0.9649523 0	0.5214674 0.8532203 -0.009318113 0	-0.8246629 0.5011496 -0.2622598 0	0 0 0 1	
0.2201027 -0.1444716 -0.964719 0	0.5202298 0.8539768 -0.009195864 0	-0.8251762 0.4998516 -0.2631211 0	0 0 0 1	
0.2202888 -0.1445221 -0.964669 0	0.5198103 0.8542314 -0.009274587 0	-0.825391 0.4994017 -0.2633016 0	0 0 0 1	
0.2200785 -0.1491163 -0.9640175 0	0.5241027 0.8515694 -0.01207355 0	-0.8227283 0.5025871 -0.2655644 0	0 0 0 1	
0.2193545 -0.1503822 -0.9639859 0	0.5251805 0.850888 -0.01323424 0	-0.8222343 0.5033635 -0.2656239 0	0 0 0 1	
0.217815 -0.1507146 -0.9642832 0	0.5264869 0.850069 -0.0139389 0	-0.821808 0.5046462 -0.2645071 0	0 0 0 1	
0.2173423 -0.1510443 -0.9643381 0	0.5250174 0.85096 -0.01495759 0	-0.8228724 0.5030434 -0.2642505 0	0 0 0 1	
0.2175589 -0.1520851 -0.9641256 0	0.5230477 0.8521457 -0.01639308 0	-0.8240687 0.5007173 -0.2649396 0	0 0 0 1	
0.2184181 -0.1527575 -0.9638251 0	0.5219016 0.8528383 -0.01689582 0	-0.824568 0.4993315 -0.2659997 0	0 0 0 1	
0.2190483 -0.1532069 -0.9636107 0	0.5210076 0.8533778 -0.01724505 0	-0.824966 0.498271 -0.2667529 0	0 0 0 1	
0.2192044 -0.1529092 -0.9636225 0	0.5204836 0.8537011 -0.01706736 0	-0.8252553 0.4978084 -0.2667218 0	0 0 0 1	
0.2192287 -0.1525677 -0.963671 0	0.5204808 0.853709 -0.01675269 0	-0.8252506 0.4978996 -0.266566 0	0 0 0 1	
0.2194721 -0.1521875 -0.9636757 0	0.5203227 0.8538134 -0.01633684 0	-0.8252856 0.4978369 -0.2665749 0	0 0 0 1	
0.2196556 -0.1518446 -0.9636882 0	0.519955 0.8540428 -0.01605363 0	-0.8254686 0.4975482 -0.2665476 0	0 0 0 1	
0.2194508 -0.1514437 -0.9637978 0	0.5189841 0.8546319 -0.01612075 0	-0.8261337 0.496658 -0.2661465 0	0 0 0 1	
0.2194998 -0.1510022 -0.9638559 0	0.5172774 0.8556635 -0.0162522 0	-0.8271904 0.4950135 -0.2659279 0	0 0 0 1	
0.219212 -0.1510618 -0.963912 0	0.5168986 0.855886 -0.01657967 0	-0.8275034 0.4946103 -0.2657042 0	0 0 0 1	
0.2190128 -0.151476 -0.9638923 0	0.5166886 0.8560022 -0.01712057 0	-0.8276872 0.4942826 -0.2657413 0	0 0 0 1	
0.2181035 -0.1516192 -0.964076 0	0.5169204 0.8558514 -0.01765555 0	-0.8277827 0.4944998 -0.2650393 0	0 0 0 1	
0.2169626 -0.1515606 -0.9643426 0	0.5164727 0.856107 -0.01835117 0	-0.8283617 0.4940751 -0.2640201 0	0 0 0 1	
0.2161034 -0.1513872 -0.9645628 0	0.5158201 0.8564894 -0.01885933 0	-0.8289928 0.4934652 -0.2631788 0	0 0 0 1	
0.2153854 -0.150441 -0.9648713 0	0.5143245 0.857388 -0.01887125 0	-0.8301081 0.4921924 -0.2620443 0	0 0 0 1	
0.2138888 -0.1488631 -0.9654489 0	0.5111263 0.8592899 -0.01925769 0	-0.8324673 0.4893472 -0.2598803 0	0 0 0 1	
0.21225 -0.1468216 -0.9661228 0	0.5075779 0.8613876 -0.01939391 0	-0.8350536 0.4862663 -0.2573529 0	0 0 0 1	
0.2116507 -0.1447315 -0.9665696 0	0.5027843 0.8641963 -0.01930726 0	-0.8381003 0.4818895 -0.2556765 0	0 0 0 1	
0.2116053 -0.1403088 -0.9672315 0	0.4913968 0.8707328 -0.01880556 0	-0.8448387 0.471315 -0.253199 0	0 0 0 1	
0.2078285 -0.1377622 -0.9684157 0	0.4841902 0.874722 -0.02052332 0	-0.8499219 0.464632 -0.2484952 0	0 0 0 1	
0.1989822 -0.1341898 -0.9707725 0	0.4761591 0.879034 -0.02390896 0	-0.8565505 0.4574847 -0.2388077 0	0 0 0 1	
0.1917492 -0.1317593 -0.9725594 0	0.4711159 0.8816713 -0.02656113 0	-0.8609774 0.4530951 -0.2311337 0	0 0 0 1	
0.1834654 -0.1295073 -0.9744579 0	0.4663234 0.8841155 -0.02970387 0	-0.8653802 0.4489629 -0.2225969 0	0 0 0 1	
0.1723713 -0.1256947 -0.9769796 0	0.4621405 0.8862117 -0.03248009 0	-0.8698933 0.4459032 -0.2108461 0	0 0 0 1	
0.1612784 -0.1214801 -0.9794039 0	0.4591963 0.8876652 -0.03448541 0	-0.8735721 0.4441769 -0.1989444 0	0 0 0 1	
0.1504217 -0.1185412 -0.9814894 -0.001325722	0.4536695 0.8903592 -0.03800593 -0.0003340528	-0.8783833 0.4395549 -0.1877079 -0.0009063265	0 0 0 1	
0.1376435 -0.1154018 -0.9837361 -0.003050681	0.4482507 0.8929193 -0.04202928 -0.0006009226	-0.8832472 0.4351753 -0.1746334 -0.001912726	0 0 0 1	
0.1236991 -0.1128584 -0.9858811 -0.005250485	0.4417219 0.8959129 -0.0471362 -0.0007749654	-0.8885833 0.4296545 -0.1606756 -0.003146705	0 0 0 1	
0.1099758 -0.1116368 -0.987645 -0.007958481	0.4339094 0.899376 -0.05334297 -0.0008360628	-0.8942192 0.422682 -0.1473498 -0.004629808	0 0 0 1	
0.096012 -0.1112926 -0.9891388 -0.01117868	0.426115 0.9026637 -0.0602015 -0.0007503631	-0.8995597 0.4157068 -0.1340899 -0.006299315	0 0 0 1	
0.08050674 -0.1113734 -0.9905124 -0.01539562	0.4189526 0.9054763 -0.0677603 -0.0007195885	-0.9044322 0.4095225 -0.1195571 -0.008165274	0 0 0 1	
