-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
-0.04112291 -0.000122726 -0.9991542 0	0.5423525 0.8398517 -0.02242514 0	-0.8391441 0.5428159 0.03447068 0	0 0 0 1	
-0.07210517 -0.003258288 -0.9973918 0	0.5357239 0.8433735 -0.04148461 0	-0.8413091 0.5373179 0.05906606 0	0 0 0 1	
-0.07195795 -0.005536199 -0.9973924 0	0.5296607 0.8471233 -0.04291508 0	-0.8451518 0.5313675 0.058025 0	0 0 0 1	
-0.07605624 -0.008687288 -0.9970657 0	0.520548 0.8525304 -0.04713541 0	-0.8504383 0.5226055 0.06031823 0	0 0 0 1	
-0.07500029 -0.01104903 -0.9971223 0	0.5135971 0.8566809 -0.04812391 0	-0.8547473 0.5157284 0.05857658 0	0 0 0 1	
-0.07571626 -0.01451284 -0.9970238 0	0.5047137 0.8617865 -0.05087341 0	-0.8599599 0.5070635 0.05792642 0	0 0 0 1	
-0.07439482 -0.0168996 -0.9970856 0	0.4989581 0.8650712 -0.05189051 0	-0.863427 0.5013643 0.05592465 0	0 0 0 1	
-0.07306159 -0.01912846 -0.997144 0	0.4937966 0.8679711 -0.05283137 0	-0.8665028 0.4962462 0.05396974 0	0 0 0 1	
-0.07277834 -0.02078809 -0.9971315 0	0.4890922 0.8705684 -0.05384725 0	-0.8691905 0.4916081 0.05319118 0	0 0 0 1	
-0.07147753 -0.02166553 -0.9972069 0	0.4835891 0.8736498 -0.05364369 0	-0.8723718 0.4860727 0.05196917 0	0 0 0 1	
-0.07040858 -0.02828132 -0.9971174 0	0.47439 0.8783748 -0.05841106 0	-0.8774947 0.4771351 0.04842877 0	0 0 0 1	
-0.06566095 -0.03264868 -0.9973077 0	0.4654576 0.8830643 -0.05955358 0	-0.8826312 0.4681148 0.04278624 0	0 0 0 1	
-0.0621525 -0.03855222 -0.9973218 0	0.4579679 0.8867465 -0.06281815 0	-0.8867934 0.4606457 0.03745782 0	0 0 0 1	
-0.06006444 -0.04151544 -0.9973308 0	0.4532021 0.8890854 -0.06430373 0	-0.8893819 0.4558548 0.03458762 0	0 0 0 1	
-0.05812311 -0.04582271 -0.9972572 0	0.4487262 0.8911467 -0.06710015 0	-0.8917772 0.4513955 0.03123426 0	0 0 0 1	
-0.05311096 -0.04849546 -0.9974104 0	0.4430981 0.8939614 -0.0670601 0	-0.8948985 0.4455123 0.02599096 0	0 0 0 1	
-0.04944468 -0.04807836 -0.997619 0	0.4393907 0.8959445 -0.06495573 0	-0.8969342 0.4415563 0.02317441 0	0 0 0 1	
-0.04886162 -0.04701032 -0.9976987 0	0.4365016 0.8974482 -0.06366399 0	-0.8983757 0.4386078 0.02333069 0	0 0 0 1	
-0.04776525 -0.04453422 -0.9978654 0	0.4312188 0.9001954 -0.0608166 0	-0.9009822 0.4332032 0.02379417 0	0 0 0 1	
-0.04610431 -0.04165716 -0.9980676 0	0.4262836 0.9027684 -0.05737118 0	-0.9034138 0.4281049 0.02386379 0	0 0 0 1	
-0.04449558 -0.0403686 -0.9981936 0	0.4205953 0.9055571 -0.05537073 0	-0.9061565 0.4222993 0.02331448 0	0 0 0 1	
-0.04085529 -0.03865553 -0.9984171 0	0.4146714 0.9084761 -0.05214167 0	-0.9090536 0.4161452 0.02108669 0	0 0 0 1	
-0.03380191 -0.03865728 -0.9986808 0	0.4103426 0.9106067 -0.04913671 0	-0.9113049 0.4114621 0.01491749 0	0 0 0 1	
-0.02510011 -0.04049729 -0.9988644 0	0.4057075 0.9127833 -0.04720214 0	-0.9136584 0.4064316 0.006480932 0	0 0 0 1	
-0.01494396 -0.04173809 -0.9990168 0	0.3997261 0.9155669 -0.04423098 0	-0.9165128 0.3999941 -0.00300163 0	0 0 0 1	
-0.008431673 -0.04369265 -0.9990094 0	0.3958631 0.9172806 -0.04345924 0	-0.9182709 0.3958374 -0.009562075 0	0 0 0 1	
0.0022856 -0.04811369 -0.9988393 0	0.3928505 0.9185801 -0.04334864 0	-0.9195996 0.3922954 -0.02100098 0	0 0 0 1	
0.01821017 -0.05395564 -0.9983772 0	0.3904924 0.9196211 -0.04257691 0	-0.920426 0.3890834 -0.03781575 0	0 0 0 1	
0.03355587 -0.05988882 -0.9976408 0	0.3911983 0.9193461 -0.04203074 0	-0.9196944 0.3888651 -0.05427784 0	0 0 0 1	
0.05715191 -0.06916976 -0.9959664 0	0.3947771 0.9178576 -0.04109146 0	-0.9169977 0.3908363 -0.07976395 0	0 0 0 1	
0.07453775 -0.07533267 -0.9943687 0	0.3978052 0.9166139 -0.03962259 0	-0.9144371 0.3926117 -0.09829009 0	0 0 0 1	
0.09109288 -0.0811573 -0.9925299 0	0.4025258 0.9146261 -0.03784403 0	-0.910865 0.3960715 -0.1159838 0	0 0 0 1	
0.1065765 -0.08515395 -0.9906514 0	0.4075615 0.9125223 -0.03459178 0	-0.9069372 0.4000648 -0.1319589 0	0 0 0 1	
0.1241661 -0.08865447 -0.988293 0	0.4144672 0.9095853 -0.02952167 0	-0.901554 0.4059495 -0.149684 0	0 0 0 1	
0.1388011 -0.09201895 -0.986036 0	0.4201271 0.9071066 -0.02551311 0	-0.8967875 0.4107192 -0.1645671 0	0 0 0 1	
0.154155 -0.09533961 -0.9834362 0	0.4257994 0.904575 -0.02094972 0	-0.8915892 0.415517 -0.1800402 0	0 0 0 1	
0.1720334 -0.09774901 -0.9802294 0	0.4331851 0.9011987 -0.01384266 0	-0.8847345 0.4222394 -0.1973797 0	0 0 0 1	
0.1866617 -0.09934792 -0.9773881 0	0.4379613 0.8989606 -0.007734135 0	-0.8794018 0.4266144 -0.211312 0	0 0 0 1	
0.1999365 -0.1000023 -0.9746923 0	0.4421743 0.8969282 -0.001321554 0	-0.8743611 0.4307196 -0.2235471 0	0 0 0 1	
0.2135766 -0.09676394 -0.9721224 0	0.4461513 0.8949129 0.008941501 0	-0.8690997 0.4356233 -0.2343038 0	0 0 0 1	
0.2239558 -0.09351858 -0.9701021 3.109978E-10	0.4470346 0.8943554 0.01698497 6.855815E-09	-0.8660277 0.4374731 -0.2421021 3.081628E-09	0 0 0 1	
0.2371 -0.09324001 -0.9670004 0.002037739	0.4503581 0.8925155 0.02436581 0.0004831392	-0.860791 0.4412736 -0.2536069 -0.0002273248	0 0 0 1	
0.2479661 -0.09045717 -0.9645363 0.004277819	0.4520076 0.891418 0.03260367 0.0009304519	-0.8568559 0.4440624 -0.2619288 -0.0006318894	0 0 0 1	
0.2742072 -0.08542788 -0.9578688 0.009216785	0.450124 0.891602 0.04933833 0.001881203	-0.8498228 0.4446887 -0.2829369 -0.001727219	0 0 0 1	
0.2873611 -0.08162841 -0.9543377 0.01189907	0.4471678 0.8925478 0.05830365 0.002344997	-0.8470328 0.4435033 -0.2929852 -0.002422524	0 0 0 1	
0.2969677 -0.07509916 -0.9519297 0.01467913	0.4434921 0.8937066 0.06784773 0.002770325	-0.8456505 0.442322 -0.298708 -0.003289541	0 0 0 1	
0.3302068 -0.05721465 -0.942173 0.0141842	0.4404321 0.892179 0.1001812 -0.009559035	-0.8348551 0.4480438 -0.3198028 0.02826888	0 0 0 1	
0.3388307 -0.05109854 -0.9394587 0.01654175	0.4374712 0.8925734 0.1092325 -0.009446983	-0.8329542 0.4479974 -0.3247854 0.02857187	0 0 0 1	
0.3469115 -0.04530008 -0.9368032 0.01894354	0.4348347 0.8927648 0.1178549 -0.009273629	-0.8310061 0.4482398 -0.3294085 0.02893888	0 0 0 1	
0.3581733 -0.04155636 -0.93273 0.02127379	0.4328037 0.8925783 0.1264315 -0.00903115	-0.8272805 0.4489733 -0.3376834 0.02958207	0 0 0 1	
0.3841636 -0.04088916 -0.9223592 0.01253535	0.439713 0.8865454 0.1438394 -0.02399517	-0.8118318 0.4608312 -0.3585579 0.02922937	0 0 0 1	
0.394287 -0.03653049 -0.918261 0.01450529	0.439462 0.8850504 0.1534888 -0.02415455	-0.8071002 0.4640595 -0.3650177 0.03020347	0 0 0 1	
0.4062519 -0.03445694 -0.9131112 0.01636752	0.4398832 0.8832532 0.162378 -0.02427485	-0.8009133 0.4676287 -0.3739803 0.03139638	0 0 0 1	
0.4176999 -0.03248729 -0.908004 0.01824601	0.4406472 0.8812084 0.1711779 -0.0243859	-0.7945796 0.4716104 -0.3823961 0.03269101	0 0 0 1	
0.4272833 -0.02983144 -0.9036255 0.0201873	0.441616 0.8790033 0.1798015 -0.02450529	-0.788926 0.4758817 -0.3887575 0.03399388	0 0 0 1	
0.4395264 -0.02987233 -0.8977329 0.02195356	0.4426495 0.8768635 0.1875416 -0.0245805	-0.7815869 0.4798104 -0.3986276 0.03551923	0 0 0 1	
0.4385185 -0.03405899 -0.8980766 0.04222907	0.4509251 0.8727351 0.1870827 -0.0336372	-0.7774112 0.4870045 -0.3980685 0.03877484	0 0 0 1	
0.4574221 -0.04098566 -0.8883047 0.04371125	0.4534763 0.8700388 0.1933694 -0.03405748	-0.7649342 0.4912766 -0.4165609 0.04126364	0 0 0 1	
0.480788 -0.05334824 -0.8752125 0.04469479	0.4579258 0.8664909 0.1987397 -0.03456187	-0.7477613 0.496334 -0.4410279 0.04437476	0 0 0 1	
0.5093333 -0.07198018 -0.8575538 0.04503428	0.4646201 0.8617812 0.2036202 -0.03525	-0.7243673 0.5021473 -0.4723772 0.04819865	0 0 0 1	
0.5435331 -0.09669593 -0.8337995 0.04460258	0.4730164 0.8558835 0.2090906 -0.03627206	-0.6934171 0.5080485 -0.5109397 0.05275387	0 0 0 1	
0.5848069 -0.1282601 -0.8009683 0.04320248	0.4818683 0.8492461 0.2158331 -0.03767263	-0.6525364 0.5121819 -0.5584495 0.05814627	0 0 0 1	
0.6556291 -0.1772735 -0.7339786 0.01781236	0.4922766 0.8374194 0.237471 -0.04615793	-0.5725507 0.5170134 -0.6363041 0.03897412	0 0 0 1	
0.6979026 -0.204245 -0.6864518 0.01634398	0.4924788 0.8327656 0.2529152 -0.04835982	-0.5199968 0.5145731 -0.6817756 0.04236756	0 0 0 1	
0.734217 -0.218446 -0.6428116 0.01543345	0.4845108 0.8318403 0.270723 -0.05078618	-0.4755782 0.5102186 -0.7165908 0.04503778	0 0 0 1	
