-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
0.3309939 0.07242718 -0.9408493 0	0.5930929 0.7595308 0.2671213 0	-0.7339509 0.6464265 -0.208444 0	0 0 0 1	
0.3288394 0.06984913 -0.9417992 0	0.5912434 0.7624111 0.2629838 0	-0.7364074 0.643312 -0.2094129 0	0 0 0 1	
0.3295783 0.06865048 -0.9416291 0	0.5895349 0.7640551 0.2620466 0	-0.7374461 0.6414881 -0.2113441 0	0 0 0 1	
0.3308046 0.06825367 -0.9412278 0	0.587411 0.7657126 0.2619781 0	-0.738591 0.6395512 -0.2132083 0	0 0 0 1	
0.3303528 0.06830412 -0.9413828 0	0.5865892 0.7665179 0.261464 0	-0.7394458 0.6385803 -0.2131549 0	0 0 0 1	
0.3285667 0.06840169 -0.9420007 0	0.5864973 0.766997 0.2602625 0	-0.7403142 0.6379944 -0.2118922 0	0 0 0 1	
0.3271768 0.06904846 -0.9424371 0	0.586369 0.7672593 0.259778 0	-0.7410309 0.6376092 -0.2105415 0	0 0 0 1	
0.32583 0.07022545 -0.9428167 0	0.5860159 0.7675574 0.2596939 0	-0.7419032 0.6371217 -0.20894 0	0 0 0 1	
0.3252237 0.07145071 -0.9429339 0	0.5855637 0.7677512 0.2601407 0	-0.7425259 0.6367518 -0.2078519 0	0 0 0 1	
0.3226935 0.06357068 -0.9443663 0	0.5921488 0.7648095 0.2538232 0	-0.738396 0.6411125 -0.2091557 0	0 0 0 1	
0.3213239 0.05989829 -0.9450731 0	0.5888466 0.7689519 0.2489431 0	-0.741627 0.6364944 -0.2118117 0	0 0 0 1	
0.3205128 0.05958095 -0.9453685 0	0.5874565 0.770408 0.2477225 0	-0.7430791 0.6347611 -0.2119244 0	0 0 0 1	
0.3179962 0.05860165 -0.9462792 0	0.5858355 0.7726003 0.2447154 0	-0.7454363 0.6321824 -0.211353 0	0 0 0 1	
0.3151716 0.05997604 -0.9471377 0	0.5835732 0.7747714 0.2432523 0	-0.7484045 0.6293904 -0.2091855 0	0 0 0 1	
0.3121186 0.06328255 -0.9479331 0	0.5810199 0.7767168 0.2431603 0	-0.7516634 0.6266629 -0.2056593 0	0 0 0 1	
0.3090335 0.06707394 -0.948683 0	0.5779255 0.7789677 0.2433339 0	-0.7553148 0.6234664 -0.2019633 0	0 0 0 1	
0.3059747 0.06887224 -0.9495453 0	0.5774684 0.7795292 0.24262 0	-0.7569081 0.622568 -0.1987446 0	0 0 0 1	
0.3033289 0.07084909 -0.9502485 0	0.5766772 0.7802285 0.2422539 0	-0.7585745 0.6214691 -0.1958088 0	0 0 0 1	
0.3006039 0.07098258 -0.9511041 0	0.5771149 0.7804029 0.2406447 0	-0.759326 0.621235 -0.193627 0	0 0 0 1	
0.2990128 0.07212564 -0.9515194 0	0.5754538 0.7817973 0.2400956 0	-0.7612124 0.6193472 -0.1922624 0	0 0 0 1	
0.298205 0.07322559 -0.9516889 0	0.5740579 0.7828186 0.2401093 0	-0.762582 0.6179264 -0.1914047 0	0 0 0 1	
0.2956327 0.07507069 -0.9523475 0	0.5741863 0.7827747 0.2399457 0	-0.7634863 0.6177607 -0.1883092 0	0 0 0 1	
0.2926628 0.07811835 -0.9530194 0	0.5743982 0.7824404 0.2405281 0	-0.7644706 0.6178062 -0.1841202 0	0 0 0 1	
0.290352 0.08070953 -0.9535102 0	0.5753287 0.7815053 0.2413428 0	-0.7646519 0.6186562 -0.1804771 0	0 0 0 1	
0.2854326 0.08399461 -0.954711 0	0.5761287 0.7810335 0.2409614 0	-0.7659007 0.6188146 -0.1745408 0	0 0 0 1	
0.2814313 0.08625202 -0.9556972 0	0.5773535 0.7802897 0.2404391 0	-0.766459 0.6194422 -0.1698 0	0 0 0 1	
0.2787513 0.0884383 -0.9562826 0	0.5785452 0.7793212 0.2407156 0	-0.7665397 0.6203525 -0.1660712 0	0 0 0 1	
0.2759815 0.09181347 -0.9567677 0	0.5790775 0.7786044 0.2417526 0	-0.7671397 0.6207619 -0.1617133 0	0 0 0 1	
0.2750334 0.09460337 -0.956769 0	0.5784929 0.7785643 0.2432768 0	-0.767921 0.6203933 -0.1594038 0	0 0 0 1	
0.2735972 0.09762311 -0.9568774 0	0.5791211 0.7775823 0.2449174 0	-0.7679604 0.6211566 -0.1562088 0	0 0 0 1	
0.2725298 0.09903122 -0.9570373 0	0.5791121 0.77745 0.2453584 0	-0.7683467 0.6210994 -0.1545281 0	0 0 0 1	
0.2706488 0.1014581 -0.9573168 0	0.577998 0.7781154 0.2458753 0	-0.769849 0.6198731 -0.1519535 0	0 0 0 1	
0.2686083 0.1020224 -0.9578314 0	0.5765449 0.7795575 0.2447164 0	-0.7716512 0.6179657 -0.1505752 0	0 0 0 1	
0.2652043 0.1018079 -0.9588023 0	0.5740818 0.7822641 0.2418534 0	-0.7746593 0.6145715 -0.1490136 0	0 0 0 1	
0.2635436 0.100203 -0.9594291 0	0.5720254 0.7846212 0.2390746 0	-0.7767445 0.6118243 -0.1494632 0	0 0 0 1	
0.2636804 0.09698187 -0.9597224 0	0.5696363 0.7872673 0.2360605 0	-0.7784517 0.6089373 -0.1523426 0	0 0 0 1	
0.266798 0.09159887 -0.9593896 0	0.5669425 0.79009 0.2330966 0	-0.7793556 0.6061084 -0.1588632 0	0 0 0 1	
0.2713148 0.08643977 -0.9586012 0	0.5656226 0.7915151 0.2314624 0	-0.7787549 0.6050058 -0.1658575 0	0 0 0 1	
0.2780737 0.07970621 -0.957247 0	0.5641047 0.7930515 0.2299028 0	-0.7774708 0.6039175 -0.1755641 0	0 0 0 1	
0.2899615 0.07042606 -0.9544436 0	0.5618671 0.7948002 0.2293426 0	-0.7747437 0.6027709 -0.1908914 0	0 0 0 1	
0.3015281 0.06339493 -0.9513475 1.881585E-09	0.5595138 0.7961561 0.2303905 -2.204607E-10	-0.7720267 0.6017612 -0.2045931 2.043123E-10	0 0 0 1	
0.3098211 0.05521786 -0.9491903 -0.002271447	0.5576006 0.798061 0.2284302 -0.0005033713	-0.7701252 0.6000414 -0.2164665 -0.0003294694	0 0 0 1	
0.3205515 0.04672822 -0.9460778 -0.004380213	0.5554922 0.7997345 0.2277128 -0.001146599	-0.7672517 0.5985325 -0.230399 -0.0006997884	0 0 0 1	
0.3336094 0.03800592 -0.941945 -0.006282219	0.5531002 0.8012462 0.2282209 -0.001909151	-0.7634035 0.5971266 -0.2462822 -0.001125394	0 0 0 1	
0.3488547 0.02919084 -0.9367221 -0.007954175	0.550478 0.8025368 0.2300187 -0.002788227	-0.7584684 0.595888 -0.2638998 -0.001614999	0 0 0 1	
0.3661405 0.02034029 -0.9303373 -0.009391997	0.5473487 0.8038199 0.232987 -0.003792461	-0.7525626 0.5945249 -0.2831778 -0.002192275	0 0 0 1	
0.3745063 0.01169321 -0.9271506 -0.01061933	0.545186 0.8060368 0.2303841 -0.002213364	-0.7500114 0.5917498 -0.2954909 -0.002641423	0 0 0 1	
0.3946453 0.002976924 -0.9188288 -0.01156031	0.5402689 0.808109 0.2346686 -0.003311463	-0.7432124 0.5890254 -0.3173081 -0.003498773	0 0 0 1	
0.4156918 -0.005535364 -0.9094887 -0.01227671	0.5342836 0.8107361 0.2392659 -0.004481254	-0.7360309 0.5853857 -0.3399737 -0.004495035	0 0 0 1	
0.4371025 -0.0134432 -0.8993112 -0.01278669	0.5270811 0.8140284 0.2440149 -0.005716048	-0.7287845 0.5806695 -0.3628995 -0.005620372	0 0 0 1	
0.4593853 -0.02103202 -0.8879882 -0.01311491	0.5189844 0.8176759 0.249121 -0.007003535	-0.7208471 0.5752944 -0.3865436 -0.006834097	0 0 0 1	
0.4823174 -0.02836643 -0.8755371 -0.01329445	0.5104838 0.8213294 0.2546061 -0.008322686	-0.7118821 0.5697485 -0.4106221 -0.008101801	0 0 0 1	
0.5041735 -0.0347136 -0.8629045 -0.01338957	0.5016732 0.8250842 0.259923 -0.009657572	-0.702946 0.5639423 -0.4334005 -0.009442108	0 0 0 1	
0.5187132 -0.04098041 -0.8539658 -0.01677702	0.4934744 0.8300169 0.2599136 -0.01032717	-0.6981546 0.5562308 -0.4507635 -0.01404902	0 0 0 1	
0.539813 -0.04618396 -0.8405172 -0.01677344	0.4839928 0.8339774 0.2650145 -0.01161362	-0.6887329 0.5498625 -0.4725446 -0.01584407	0 0 0 1	
0.5611082 -0.05140203 -0.826145 -0.01673702	0.4741014 0.8380955 0.2698587 -0.01285229	-0.6785172 0.5430964 -0.494632 -0.0177651	0 0 0 1	
0.5827057 -0.05658801 -0.8107108 -0.01665398	0.4639205 0.8422233 0.2746594 -0.01403243	-0.6672571 0.5361509 -0.5170206 -0.01979353	0 0 0 1	
0.6045465 -0.06181583 -0.7941676 -0.01652666	0.4537609 0.8461378 0.2795567 -0.0151495	-0.6546942 0.5293673 -0.5395793 -0.02192171	0 0 0 1	
0.6268222 -0.06728519 -0.7762517 -0.01634516	0.4438678 0.8496374 0.2847764 -0.01618472	-0.6403713 0.5230573 -0.5624374 -0.02414355	0 0 0 1	
0.6421956 -0.07473776 -0.7628886 -0.01923175	0.4380858 0.8524699 0.2852646 -0.01842211	-0.6290196 0.5174063 -0.580194 -0.03003704	0 0 0 1	
0.6661052 -0.08158559 -0.7413824 -0.01886666	0.4291966 0.854864 0.2915439 -0.01931152	-0.6099952 0.5123976 -0.6044456 -0.03263865	0 0 0 1	
0.6899228 -0.08913599 -0.7183741 -0.01843652	0.4204907 0.8571414 0.2974829 -0.02013576	-0.5892318 0.5073099 -0.6288423 -0.03536002	0 0 0 1	
0.7127921 -0.09741679 -0.6945772 -0.01803829	0.4117807 0.8597896 0.3019911 -0.02091715	-0.5677711 0.5012703 -0.6529655 -0.03823604	0 0 0 1	
0.7335125 -0.1063228 -0.6713083 -0.01777759	0.4035964 0.8628379 0.3043366 -0.02165184	-0.5468723 0.4941723 -0.6758139 -0.04128408	0 0 0 1	
